pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
3M3X,JS7,diffdock_sdf,diffdock,rank4_confidence0.09|idx_4,output/diffdock_workflow/poses/3M3X/complex_0/rank4_confidence0.09.sdf,ok_low_coverage,atom_name,4.515567948338792,24.0,24.0,8.0,0.3333333333333333,JS7|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M3X,JS7,diffdock_complex_pdb,diffdock,3M3X_diffdock_complex,output/diffdock_workflow/complexes/3M3X_diffdock_complex.pdb,ok_low_coverage,atom_name,1.9047848365235072,24.0,24.0,12.0,0.5,JS7|A|264,UNL|L|1,No sub-structure match found between the reference and probe mol
3M3X,JS7,boltz_cif,crystal_pocket,3M3X_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M3X_crystal_pocket/3M3X_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.3499644217849084,24.0,24.0,24.0,1.0,JS7|A|264,LIG1|JS7|1,
3M3X,JS7,boltz_cif,default,3M3X_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M3X_default/3M3X_default_model_0.cif,ok,rdkit_best_rms,0.4061859456748088,24.0,24.0,24.0,1.0,JS7|A|264,LIG1|JS7|1,
3M3X,JS7,boltz_cif,diffdock_pocket,3M3X_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M3X_diffdock_pocket/3M3X_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.37350569212743384,24.0,24.0,24.0,1.0,JS7|A|264,LIG1|JS7|1,
3M40,J45,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3M40/complex_0/rank1.sdf,ok_low_coverage,atom_name,2.6806169966274807,21.0,21.0,12.0,0.5714285714285714,J45|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M40,J45,diffdock_sdf,diffdock,rank1_confidence0.20|idx_1,output/diffdock_workflow/poses/3M40/complex_0/rank1_confidence0.20.sdf,ok_low_coverage,atom_name,2.6806169966274807,21.0,21.0,12.0,0.5714285714285714,J45|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M40,J45,diffdock_sdf,diffdock,rank2_confidence0.07|idx_2,output/diffdock_workflow/poses/3M40/complex_0/rank2_confidence0.07.sdf,ok_low_coverage,atom_name,2.6808323431511103,21.0,21.0,12.0,0.5714285714285714,J45|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M40,J45,diffdock_sdf,diffdock,rank3_confidence-0.00|idx_3,output/diffdock_workflow/poses/3M40/complex_0/rank3_confidence-0.00.sdf,ok_low_coverage,atom_name,2.5321492967984756,21.0,21.0,12.0,0.5714285714285714,J45|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M40,J45,diffdock_sdf,diffdock,rank4_confidence-0.09|idx_4,output/diffdock_workflow/poses/3M40/complex_0/rank4_confidence-0.09.sdf,ok_low_coverage,atom_name,2.6724587385825287,21.0,21.0,12.0,0.5714285714285714,J45|A|263,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M40,J45,diffdock_complex_pdb,diffdock,3M40_diffdock_complex,output/diffdock_workflow/complexes/3M40_diffdock_complex.pdb,ok_low_coverage,atom_name,4.1500253596907655,21.0,21.0,9.0,0.42857142857142855,J45|A|263,UNL|L|1,No sub-structure match found between the reference and probe mol
3M40,J45,boltz_cif,crystal_pocket,3M40_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M40_crystal_pocket/3M40_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.3206770512295873,21.0,21.0,21.0,1.0,J45|A|263,LIG1|J45|1,
3M40,J45,boltz_cif,default,3M40_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M40_default/3M40_default_model_0.cif,ok,rdkit_best_rms,0.3430406395489987,21.0,21.0,21.0,1.0,J45|A|263,LIG1|J45|1,
3M40,J45,boltz_cif,diffdock_pocket,3M40_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M40_diffdock_pocket/3M40_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.3549057049846112,21.0,21.0,21.0,1.0,J45|A|263,LIG1|J45|1,
3M5E,JDR,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3M5E/complex_0/rank1.sdf,ok_low_coverage,atom_name,4.011424350325408,23.0,23.0,5.0,0.21739130434782608,JDR|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M5E,JDR,diffdock_sdf,diffdock,rank1_confidence0.03|idx_1,output/diffdock_workflow/poses/3M5E/complex_0/rank1_confidence0.03.sdf,ok_low_coverage,atom_name,4.011424350325408,23.0,23.0,5.0,0.21739130434782608,JDR|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M5E,JDR,diffdock_sdf,diffdock,rank2_confidence0.03|idx_2,output/diffdock_workflow/poses/3M5E/complex_0/rank2_confidence0.03.sdf,ok_low_coverage,atom_name,3.9612409630726644,23.0,23.0,5.0,0.21739130434782608,JDR|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M5E,JDR,diffdock_sdf,diffdock,rank3_confidence0.01|idx_3,output/diffdock_workflow/poses/3M5E/complex_0/rank3_confidence0.01.sdf,ok_low_coverage,atom_name,3.929378631477176,23.0,23.0,5.0,0.21739130434782608,JDR|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M5E,JDR,diffdock_sdf,diffdock,rank4_confidence-0.02|idx_4,output/diffdock_workflow/poses/3M5E/complex_0/rank4_confidence-0.02.sdf,ok_low_coverage,atom_name,4.179446138580823,23.0,23.0,5.0,0.21739130434782608,JDR|A|264,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M5E,JDR,diffdock_complex_pdb,diffdock,3M5E_diffdock_complex,output/diffdock_workflow/complexes/3M5E_diffdock_complex.pdb,ok,rdkit_best_rms,0.18173862606595637,23.0,23.0,23.0,1.0,JDR|A|264,UNL|L|1,
3M5E,JDR,boltz_cif,crystal_pocket,3M5E_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M5E_crystal_pocket/3M5E_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.5816720569599171,23.0,23.0,23.0,1.0,JDR|A|264,LIG1|JDR|1,
3M5E,JDR,boltz_cif,default,3M5E_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M5E_default/3M5E_default_model_0.cif,ok,rdkit_best_rms,0.5701991776003221,23.0,23.0,23.0,1.0,JDR|A|264,LIG1|JDR|1,
3M5E,JDR,boltz_cif,diffdock_pocket,3M5E_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/3M5E_diffdock_pocket/3M5E_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.6102866659097098,23.0,23.0,23.0,1.0,JDR|A|264,LIG1|JDR|1,
3M67,E36,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/3M67/complex_0/rank1.sdf,ok_low_coverage,atom_name,5.2885607757195485,28.0,28.0,13.0,0.4642857142857143,E36|A|262,SDF|LIG|1,No sub-structure match found between the reference and probe mol
3M67,E36,diffdock_sdf,diffdock,rank1_confidence-0.15|idx_1,output/diffdock_workflow/poses/3M67/complex_0/rank1_confidence-0.15.sdf,ok_low_coverage,atom_name,5.2885607757195485,28.0,28.0,13.0,0.4642857142857143,E36|A|262,SDF|LIG|1,No sub-structure match found between the reference and probe mol
